n2,wpop,share_ba_2ndgen,share_lths_2ndgen,n_ftfy,med_earn_2ndgen,cps_code,origin,n1,share_ba_1stgen,share_lths_1stgen,n_adultarr,share_ba_adultarr,iso3,share_ba_origin,origin_ba_year,refugee_dummy,mexcam_dummy,share_ba_origin_early,origin_ba_year_early,selectivity,selectivity_early,selectivity_adultarr,resid,fitted
458,160718.44333333336,66.71654858611642,1.3556336709997583,317,65000.0,217,Korea,1050,68.12049795895916,0.907553598793971,717,66.53458692440375,KOR,34.54,2022.0,0,0,21.98,2003.0,33.580497958959164,46.14049795895916,31.994586924403755,8.204577471768005,58.51197111434841
433,149733.05833333335,61.50164456557605,0.25410220310400167,281,65000.0,215,Japan,623,68.98746650275862,0.49909489049704975,521,69.29121932129377,JPN,25.54,2020.0,0,0,19.91,2010.0,43.44746650275862,49.077466502758625,43.75121932129377,-3.033863263240228,64.53550782881628
430,142346.38333333336,28.179375357036935,8.190263117561935,269,48000.0,313,Guatemala,2732,9.071649601248065,55.18550059347317,2052,7.922688149269925,GTM,5.69,2022.0,0,1,1.94,2012.0,3.381649601248065,7.131649601248066,2.232688149269925,-0.4940300920984555,28.67340544913539
363,128464.59666666666,48.16988358842004,1.3714790266859256,236,52000.0,364,Columbia,1823,46.539657433384534,5.263585377253537,1415,45.794933281949326,COL,16.2,2022.0,0,0,9.69,2007.0,30.339657433384534,36.849657433384536,29.594933281949327,-6.6884554674252,54.85833905584524
357,146159.72166666668,65.22019809082605,0.8878164142645182,236,75000.0,120,Italy,278,45.549834809339025,5.972792299160273,165,53.34357867398354,ITA,16.49,2022.0,0,0,,,29.059834809339026,,36.853578673983534,11.21217381691605,54.008024273909996
339,126103.395,55.9703395244302,3.0746766704153097,235,70000.0,139,England,408,63.776781236250265,1.8145244075085065,283,65.28878724896599,GBR,39.59,2021.0,0,0,,,24.186781236250262,,25.698787248965985,3.469753694760996,52.500585829669205
315,172696.6,50.59354092668876,4.032357903977264,196,49500.0,333,Jamaica,1159,35.23374093702799,6.335929262968981,754,33.240024262988285,JAM,10.95,2022.0,0,0,6.81,2011.0,24.28374093702799,28.42374093702799,22.290024262988286,0.27967015022058206,50.31387077646818
302,101923.37333333334,34.27932232227269,4.930890565762279,209,50000.0,223,Laos,360,17.690413509371293,14.470688222268427,171,10.22877464897428,LAO,5.19,2022.0,1,0,4.15,2010.0,12.500413509371292,13.540413509371293,5.03877464897428,-12.885484137049517,47.16480645932221
250,97780.31666666665,58.20668406507855,0.6183759887598373,156,68000.0,138,United Kingdom,484,70.24209794036945,2.1144002782365066,423,70.28412332673919,GBR,39.59,2021.0,0,0,,,30.652097940369444,,30.694123326739188,1.295299532540362,56.911384532538186
242,127925.54166666666,44.77197640684865,2.384319263842606,159,46799.0,332,Haiti,1058,24.775797585308137,11.570220221416875,772,19.03888464339367,HTI,4.53,2017.0,0,0,5.23,2012.0,20.245797585308136,19.545797585308136,14.508884643393667,-2.282103325987947,47.0540797328366
223,79377.92833333333,45.570721936830594,3.8932190995074474,156,50000.0,365,Ecuador,909,25.379725855378865,20.367160943226306,647,22.513858259518805,ECU,12.4,2021.0,0,0,10.17,2007.0,12.979725855378865,15.209725855378865,10.113858259518805,2.8546703042983026,42.71605163253229
208,66584.26666666666,58.95811472980604,3.4061449952140848,156,68000.0,129,Portugal,206,28.261647421634052,17.8873508476886,74,,PRT,23.12,2022.0,0,0,7.28,2000.0,5.141647421634051,20.98164742163405,,20.746143219907935,38.211971509898106
205,77195.32166666666,62.9396669180708,4.081538360927875,134,70000.0,220,South Korea,650,71.01511840707906,1.4411080072516966,436,67.90345185984381,KOR,34.54,2022.0,0,0,21.98,2003.0,36.47511840707906,49.035118407079054,33.36345185984381,2.4529142574864835,60.486752660584315
178,58828.35,38.50285902403631,2.948014576872092,115,50000.0,314,Honduras,1870,8.87465511029883,46.8404012805147,1495,8.678343902807738,HND,9.63,2019.0,0,1,3.37,2005.0,-0.7553448897011705,5.50465511029883,-0.951656097192263,12.341887336741916,26.160971687294396
177,64440.30333333333,70.24427931774167,3.457080767931415,114,65000.0,231,Pakistan,867,62.50202034045742,6.483770204734177,666,63.34623317415626,PAK,9.93,2021.0,0,0,3.92,2005.0,52.57202034045742,58.58202034045742,53.41623317415626,0.711680471639923,69.53259884610175
174,75726.68,71.04903230054893,2.579707266536268,113,70000.0,212,Iran,574,67.20651225363382,1.7580160311411452,428,63.22119547749077,IRN,17.69,2022.0,1,0,6.1,2005.0,49.51651225363382,61.10651225363382,45.53119547749077,-2.3523386313991637,73.4013709319481
159,72003.70166666666,68.75028948164494,0.7761985199788687,93,66000.0,128,Poland,560,48.295429354921275,4.6051399374151485,371,41.976288252704485,POL,27.72,2021.0,0,0,,,20.575429354921276,,14.256288252704486,19.647168254249166,49.103121227395775
158,57142.333333333336,39.026897746562675,7.130793282271754,93,50000.0,206,Cambodia,273,18.063691510929555,15.435678858665437,171,13.415857399182132,KHM,4.56,2021.0,1,0,,,13.503691510929556,,8.855857399182131,-8.772813038348524,47.7997107849112
